"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"320",11,"Emanuel Wilson",GB,"12.8","0","0","4","23","0","14","85","0"
"321",11,"New England Patriots",NE,"109","0","0","0","0","0","0","0","0"
"322",11,"Tre Tucker",LV,"62.3","0","0","19","331","2","10","77","0"
"323",12,"Van Jefferson",PIT,"31.3","0","0","20","209","0","1","4","0"
"324",12,"Ty Johnson",BUF,"28.9","0","0","7","62","1","30","132","0"
"325",12,"Jordan Whittington",LAR,"0","0","0","0","0","0","0","0","0"
"326",12,"Jauan Jennings",SF,"42","0","0","19","265","1","0","0","0"
"327",12,"Michael Penix Jr.",ATL,"0","0","0","0","0","0","0","0","0"
"328",12,"Calvin Austin III",PIT,"44.2","0","0","17","180","1","11","57","1"
"329",12,"Tim Patrick",DET,"0","0","0","0","0","0","0","0","0"
"330",12,"Will Dissly",LAC,"31.7","0","0","17","172","1","0","0","0"
"331",12,"Nelson Agholor",BAL,"79.6","0","0","35","381","4","0","0","0"
"332",12,"Jake Bates",DET,"0","0","0","0","0","0","0","0","0"
"333",12,"Isaiah Spiller",FA,"16","0","0","6","34","0","37","96","0"
"334",12,"Kareem Hunt",FA,"111","0","0","15","84","0","135","411","9"
"335",12,"Allen Lazard",NYJ,"48.6","0","0","23","311","1","0","0","0"
"336",12,"Bo Melton",GB,"37.9","0","0","16","218","1","3","21","0"
"337",12,"Marquez Valdes-Scantling",BUF,"46","0","0","21","315","1","0","0","0"
"338",12,"Jalen Nailor",MIN,"4.4","0","0","3","29","0","0","0","0"
"339",12,"Kadarius Toney",FA,"39.5","0","0","27","169","1","11","31","0"
